dataset,n_series,ols_spearman_vs_TS,si_local_spearman_vs_TS,ols_kendall_vs_TS,si_local_kendall_vs_TS,mean_struct_width
macrodata,12,0.923,0.881,0.788,0.727,0.0134
danish,5,1.000,0.600,1.000,0.400,0.0981
grunfeld-value,11,0.964,0.791,0.891,0.600,0.1901
elnino-months,12,0.853,0.727,0.697,0.545,0.0164
sunspots-11y-windows,28,0.985,0.953,0.921,0.820,0.3854
CO2-10y-windows,35,0.088,0.627,0.069,0.429,0.0322

