cutoff,fold,method,topk,spearman,kendall,mean_struct_width,selected
80,1,ols,3,0.6892810777240849,0.5245318768574243,,s12;s20;s13
80,1,ols,5,0.6921842788938383,0.528100120917679,,s12;s20;s13;s2;s11
80,1,ols,10,0.8077011254377107,0.5994650021227708,,s12;s20;s13;s2;s11;s21;s7;s15;s3;s4
80,1,ts,3,0.7769883130629509,0.5816237818214978,,s13;s12;s21
80,1,ts,5,0.7757659125704232,0.6066014902432799,,s13;s12;s21;s2;s7
80,1,ts,10,0.8141187280234814,0.649420418966335,,s13;s12;s21;s2;s7;s20;s11;s15;s4;s8
80,1,si,3,0.7500955022273404,0.5530778293394611,0.009487362755637404,s7;s13;s15
80,1,si,5,0.7456643004419273,0.5495095852792065,0.009036651199339822,s7;s13;s15;s11;s20
80,1,si,10,0.776529912878253,0.5744872937009886,0.009185563160487915,s7;s13;s15;s11;s20;s4;s2;s12;s3;s9
80,2,ols,3,0.2601789593621587,0.16587595249920575,,s11;s8;s7
80,2,ols,5,0.33843329932455596,0.23832751795862897,,s11;s8;s7;s20;s13
80,2,ols,10,0.38709144660886713,0.28027316111934764,,s11;s8;s7;s20;s13;s12;s4;s21;s17;s14
80,2,ts,3,0.405484560702593,0.28789964169402377,,s7;s13;s8
80,2,ts,5,0.4038124594213452,0.28789964169402377,,s7;s13;s8;s11;s12
80,2,ts,10,0.45414270798690415,0.3336585251420805,,s7;s13;s8;s11;s12;s20;s21;s4;s15;s14
80,2,si,3,0.2681438464515885,0.18702596593927884,0.007196357509140713,s13;s7;s11
80,2,si,5,0.3705376439245139,0.26502019996999543,0.00742204860424708,s13;s7;s11;s8;s15
80,2,si,10,0.42638582671819053,0.3145923237053902,0.007797160523717737,s13;s7;s11;s8;s15;s4;s12;s20;s9;s2
80,3,ols,3,0.3773301341024743,0.2661616198194409,,s13;s8;s21
80,3,ols,5,0.6098805180353682,0.4448701359839228,,s13;s8;s21;s12;s7
80,3,ols,10,0.6892920438212236,0.5095093865115012,,s13;s8;s21;s12;s7;s11;s4;s15;s6;s20
80,3,ts,3,0.43667980074242924,0.2965800906559485,,s13;s8;s21
80,3,ts,5,0.5953356701545905,0.4448701359839228,,s13;s8;s21;s12;s7
80,3,ts,10,0.73426404473995,0.5665440193299529,,s13;s8;s21;s12;s7;s15;s11;s4;s20;s14
80,3,si,3,0.6202458119274168,0.456277062547613,0.007424414068841193,s13;s7;s4
80,3,si,5,0.55521195186279,0.39163781202003456,0.007661163283882894,s13;s7;s4;s8;s15
80,3,si,10,0.6005183171006148,0.4372655182747958,0.008219059014513653,s13;s7;s4;s8;s15;s11;s21;s12;s2;s20

